project_id,project_location_id,geoname_id,transactions_start_year,transactions_end_year,even_split_commitments,even_split_disbursements
P001807,P001807_7874471,7874471,2003,2009,829129.9374,891714.8279
P001807,P001807_7874473,7874473,2003,2009,829129.9374,891714.8279
P001807,P001807_7670756,7670756,2003,2009,829129.9374,891714.8279
P001807,P001807_7873988,7873988,2003,2009,829129.9374,891714.8279
P001807,P001807_1053142,1053142,2003,2009,829129.9374,891714.8279
P001807,P001807_1052446,1052446,2003,2009,829129.9374,891714.8279
P001807,P001807_7873983,7873983,2003,2009,829129.9374,891714.8279
P001807,P001807_7909828,7909828,2003,2009,829129.9374,891714.8279
P001807,P001807_7874046,7874046,2003,2009,829129.9374,891714.8279
P001807,P001807_7905000,7905000,2003,2009,829129.9374,891714.8279
P001807,P001807_7874614,7874614,2003,2009,829129.9374,891714.8279
P001807,P001807_7873985,7873985,2003,2009,829129.9374,891714.8279
P001807,P001807_7905199,7905199,2003,2009,829129.9374,891714.8279
P001807,P001807_7905529,7905529,2003,2009,829129.9374,891714.8279
P001807,P001807_1035304,1035304,2003,2009,829129.9374,891714.8279
P001807,P001807_1037018,1037018,2003,2009,829129.9374,891714.8279
P001807,P001807_1037109,1037109,2003,2009,829129.9374,891714.8279
P001807,P001807_1040396,1040396,2003,2009,829129.9374,891714.8279
P001807,P001807_1040587,1040587,2003,2009,829129.9374,891714.8279
P001807,P001807_1041912,1041912,2003,2009,829129.9374,891714.8279
P001807,P001807_1042871,1042871,2003,2009,829129.9374,891714.8279
P001807,P001807_1045351,1045351,2003,2009,829129.9374,891714.8279
P001807,P001807_1052937,1052937,2003,2009,829129.9374,891714.8279
P001807,P001807_1040948,1040948,2003,2009,829129.9374,891714.8279
P001807,P001807_1049181,1049181,2003,2009,829129.9374,891714.8279
P001807,P001807_1051852,1051852,2003,2009,829129.9374,891714.8279
P001807,P001807_7873986,7873986,2003,2009,829129.9374,891714.8279
P001807,P001807_7874708,7874708,2003,2009,829129.9374,891714.8279
P001807,P001807_7646374,7646374,2003,2009,829129.9374,891714.8279
P001807,P001807_1045789,1045789,2003,2009,829129.9374,891714.8279
P001807,P001807_7874045,7874045,2003,2009,829129.9374,891714.8279
P001807,P001807_7873991,7873991,2003,2009,829129.9374,891714.8279
P001807,P001807_7909704,7909704,2003,2009,829129.9374,891714.8279
P001807,P001807_7874710,7874710,2003,2009,829129.9374,891714.8279
P001807,P001807_7874474,7874474,2003,2009,829129.9374,891714.8279
P001807,P001807_7874620,7874620,2003,2009,829129.9374,891714.8279
P001807,P001807_7874622,7874622,2003,2009,829129.9374,891714.8279
P001807,P001807_7874711,7874711,2003,2009,829129.9374,891714.8279
P001807,P001807_7873976,7873976,2003,2009,829129.9374,891714.8279
P001807,P001807_1090080,1090080,2003,2009,829129.9374,891714.8279
P001807,P001807_8693192,8693192,2003,2009,829129.9374,891714.8279
P001807,P001807_7874712,7874712,2003,2009,829129.9374,891714.8279
P001807,P001807_7873980,7873980,2003,2009,829129.9374,891714.8279
P001807,P001807_1037394,1037394,2003,2009,829129.9374,891714.8279
P001807,P001807_7880951,7880951,2003,2009,829129.9374,891714.8279
P001807,P001807_7873993,7873993,2003,2009,829129.9374,891714.8279
P001807,P001807_7874472,7874472,2003,2009,829129.9374,891714.8279
P001807,P001807_8301113,8301113,2003,2009,829129.9374,891714.8279
P001807,P001807_8714615,8714615,2003,2009,829129.9374,891714.8279
P001807,P001807_7874724,7874724,2003,2009,829129.9374,891714.8279
P001807,P001807_7873984,7873984,2003,2009,829129.9374,891714.8279
P001807,P001807_7874726,7874726,2003,2009,829129.9374,891714.8279
P001807,P001807_7670758,7670758,2003,2009,829129.9374,891714.8279
P001807,P001807_7874624,7874624,2003,2009,829129.9374,891714.8279
P001807,P001807_7874106,7874106,2003,2009,829129.9374,891714.8279
P001807,P001807_1040947,1040947,2003,2009,829129.9374,891714.8279
P001807,P001807_1040649,1040649,2003,2009,829129.9374,891714.8279
P001807,P001807_1024312,1024312,2003,2009,829129.9374,891714.8279
P001807,P001807_1026804,1026804,2003,2009,829129.9374,891714.8279
P001807,P001807_1026010,1026010,2003,2009,829129.9374,891714.8279
P001807,P001807_1024062,1024062,2003,2009,829129.9374,891714.8279
P004397,P004397_8657190,8657190,2002,2012,1170987.274,2070466.944
P004397,P004397_2134008,2134008,2002,2012,1170987.274,2070466.944
P004397,P004397_7668019,7668019,2002,2012,1170987.274,2070466.944
P004397,P004397_2093683,2093683,2002,2012,1170987.274,2070466.944
P004397,P004397_2090950,2090950,2002,2012,1170987.274,2070466.944
P004397,P004397_2087893,2087893,2002,2012,1170987.274,2070466.944
P004397,P004397_2087633,2087633,2002,2012,1170987.274,2070466.944
P004397,P004397_2101332,2101332,2002,2012,1170987.274,2070466.944
P004397,P004397_7648911,7648911,2002,2012,1170987.274,2070466.944
P004397,P004397_2101038,2101038,2002,2012,1170987.274,2070466.944
P004397,P004397_2100536,2100536,2002,2012,1170987.274,2070466.944
P004397,P004397_2100468,2100468,2002,2012,1170987.274,2070466.944
P004397,P004397_2099613,2099613,2002,2012,1170987.274,2070466.944
P004397,P004397_2096037,2096037,2002,2012,1170987.274,2070466.944
P004397,P004397_7648913,7648913,2002,2012,1170987.274,2070466.944
P004397,P004397_2093727,2093727,2002,2012,1170987.274,2070466.944
P004397,P004397_2093427,2093427,2002,2012,1170987.274,2070466.944
P004397,P004397_2133105,2133105,2002,2012,1170987.274,2070466.944
P004397,P004397_2092651,2092651,2002,2012,1170987.274,2070466.944
P004397,P004397_2091756,2091756,2002,2012,1170987.274,2070466.944
P004397,P004397_2091232,2091232,2002,2012,1170987.274,2070466.944
P004397,P004397_2090910,2090910,2002,2012,1170987.274,2070466.944
P004397,P004397_2090288,2090288,2002,2012,1170987.274,2070466.944
P004397,P004397_2089300,2089300,2002,2012,1170987.274,2070466.944
P004397,P004397_2088179,2088179,2002,2012,1170987.274,2070466.944
P004397,P004397_2085422,2085422,2002,2012,1170987.274,2070466.944
P004397,P004397_2083819,2083819,2002,2012,1170987.274,2070466.944
P004397,P004397_2093967,2093967,2002,2012,1170987.274,2070466.944
P004397,P004397_2088163,2088163,2002,2012,1170987.274,2070466.944
P004397,P004397_2133763,2133763,2002,2012,1170987.274,2070466.944
P004397,P004397_2097853,2097853,2002,2012,1170987.274,2070466.944
P004397,P004397_2096633,2096633,2002,2012,1170987.274,2070466.944
P004397,P004397_2091495,2091495,2002,2012,1170987.274,2070466.944
P004397,P004397_2090468,2090468,2002,2012,1170987.274,2070466.944
P004397,P004397_2089478,2089478,2002,2012,1170987.274,2070466.944
P004397,P004397_2083546,2083546,2002,2012,1170987.274,2070466.944
P004397,P004397_2095012,2095012,2002,2012,1170987.274,2070466.944
P004397,P004397_2091497,2091497,2002,2012,1170987.274,2070466.944
P004397,P004397_2088161,2088161,2002,2012,1170987.274,2070466.944
P004397,P004397_7668037,7668037,2002,2012,1170987.274,2070466.944
P004397,P004397_7668036,7668036,2002,2012,1170987.274,2070466.944
P040578,P040578_9165798,9165798,2001,2009,798367.0508,655796.7905
P040578,P040578_1640342,1640342,2001,2009,798367.0508,655796.7905
P040578,P040578_1636555,1636555,2001,2009,798367.0508,655796.7905
P040578,P040578_1639849,1639849,2001,2009,798367.0508,655796.7905
P040578,P040578_6965895,6965895,2001,2009,798367.0508,655796.7905
P040578,P040578_1648758,1648758,2001,2009,798367.0508,655796.7905
P040578,P040578_8659101,8659101,2001,2009,798367.0508,655796.7905
P040578,P040578_1647571,1647571,2001,2009,798367.0508,655796.7905
P040578,P040578_1637366,1637366,2001,2009,798367.0508,655796.7905
P040578,P040578_9165982,9165982,2001,2009,798367.0508,655796.7905
P040578,P040578_7057508,7057508,2001,2009,798367.0508,655796.7905
P040578,P040578_1637365,1637365,2001,2009,798367.0508,655796.7905
P040578,P040578_9165995,9165995,2001,2009,798367.0508,655796.7905
P040578,P040578_9165840,9165840,2001,2009,798367.0508,655796.7905
P040578,P040578_1622267,1622267,2001,2009,798367.0508,655796.7905
P040578,P040578_1623839,1623839,2001,2009,798367.0508,655796.7905
P040578,P040578_1623840,1623840,2001,2009,798367.0508,655796.7905
P040578,P040578_1624750,1624750,2001,2009,798367.0508,655796.7905
P040578,P040578_1625166,1625166,2001,2009,798367.0508,655796.7905
P040578,P040578_1625707,1625707,2001,2009,798367.0508,655796.7905
P040578,P040578_1626541,1626541,2001,2009,798367.0508,655796.7905
P040578,P040578_1627258,1627258,2001,2009,798367.0508,655796.7905
P040578,P040578_1627443,1627443,2001,2009,798367.0508,655796.7905
P040578,P040578_1628799,1628799,2001,2009,798367.0508,655796.7905
P040578,P040578_1630720,1630720,2001,2009,798367.0508,655796.7905
P040578,P040578_1630788,1630788,2001,2009,798367.0508,655796.7905
P040578,P040578_1630933,1630933,2001,2009,798367.0508,655796.7905
P040578,P040578_1631789,1631789,2001,2009,798367.0508,655796.7905
P040578,P040578_1632723,1632723,2001,2009,798367.0508,655796.7905
P040578,P040578_1634193,1634193,2001,2009,798367.0508,655796.7905
P040578,P040578_1635387,1635387,2001,2009,798367.0508,655796.7905
P040578,P040578_1636028,1636028,2001,2009,798367.0508,655796.7905
P040578,P040578_1636306,1636306,2001,2009,798367.0508,655796.7905
P040578,P040578_1636422,1636422,2001,2009,798367.0508,655796.7905
P040578,P040578_1636625,1636625,2001,2009,798367.0508,655796.7905
P040578,P040578_1636805,1636805,2001,2009,798367.0508,655796.7905
P040578,P040578_1639475,1639475,2001,2009,798367.0508,655796.7905
P040578,P040578_1639753,1639753,2001,2009,798367.0508,655796.7905
P040578,P040578_1640948,1640948,2001,2009,798367.0508,655796.7905
P040578,P040578_1642584,1642584,2001,2009,798367.0508,655796.7905
P040578,P040578_1642655,1642655,2001,2009,798367.0508,655796.7905
P040578,P040578_1644098,1644098,2001,2009,798367.0508,655796.7905
P040578,P040578_1644905,1644905,2001,2009,798367.0508,655796.7905
P040578,P040578_1645322,1645322,2001,2009,798367.0508,655796.7905
P040578,P040578_1647803,1647803,2001,2009,798367.0508,655796.7905
P040578,P040578_1648256,1648256,2001,2009,798367.0508,655796.7905
P040578,P040578_1648339,1648339,2001,2009,798367.0508,655796.7905
P040578,P040578_1649264,1649264,2001,2009,798367.0508,655796.7905
P040578,P040578_1649975,1649975,2001,2009,798367.0508,655796.7905
P040578,P040578_1650231,1650231,2001,2009,798367.0508,655796.7905
P040578,P040578_2057086,2057086,2001,2009,798367.0508,655796.7905
P040578,P040578_6755517,6755517,2001,2009,798367.0508,655796.7905
P040578,P040578_6960133,6960133,2001,2009,798367.0508,655796.7905
P040578,P040578_7086954,7086954,2001,2009,798367.0508,655796.7905
P040578,P040578_7910924,7910924,2001,2009,798367.0508,655796.7905
