project_id,is_geocoded,project_title,start_actual_isodate,end_actual_isodate,donors,donors_iso3,recipients,recipients_iso3,ad_sector_codes,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements
P124054,1,ML-Strengthening Reproductive Health,20/12/2011,28/02/2017,World Bank,DAC,Mali,MLI,120|121,"Health, general|Health",Implementation,2011,2017,30000000,
P035626,1,Pilot Community Infrastructure Works and Capacity Building Project,24/08/1998,30/06/2004,World Bank,DAC,Gabon,GAB,151|160|331|210|140,"Water supply and sanitation|Other social infrastructure and services|Trade policy and regulations|Government and civil society, general|Transport and storage",Completion,1998,2004,6628358.554,6992927.886
P102288,1,Afghanistan: Emergency National Solidarity Project II,07/12/2006,30/09/2011,World Bank,DAC,Afghanistan,AFG,311|160|210|140,Water supply and sanitation|Other social infrastructure and services|Agriculture|Transport and storage,Completion,2006,2011,131772394.2,218926094.6
P065954,1,Health Reform Project,11/09/2003,31/03/2007,World Bank,DAC,Slovak Republic,SVK,120|151|121,"Health, general|Health|Government and civil society, general",Completion,2003,2007,75769052.27,83774657.15
P118375,1,Road Upgrading and Modernization Project,11/11/2010,30/11/2015,World Bank,DAC,Belarus,BLR,210,Transport and storage,Implementation,2010,2015,153197637.6,20988269.79
P040560,1,Financial Sector Structural Adjustment Loan,15/09/1998,15/02/2001,World Bank,DAC,Ukraine,UKR,151|240,"Banking and financial services|Government and civil society, general",Completion,1998,2001,397701513.3,344674644.8
P102915,1,Re-engagement and Reform Support Program,04/12/2007,30/09/2008,World Bank,DAC,Liberia,LBR,151,"Government and civil society, general",Completion,2007,2008,458870292.5,432441720.8
P057294,1,Economic Recovery Credit Project,30/03/1999,31/03/2001,World Bank,DAC,Rwanda,RWA,151|311|321|160,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general",Completion,1999,2001,97899964.82,110436099.1
P115347,1,School Based Management (APL II),17/06/2010,30/06/2014,World Bank,DAC,Mexico,MEX,111|113|112,"Education, level unspecified|Secondary education|Basic education",Completion,2010,2014,224689868.5,117304151.1
P071001,1,Business Enabling Environment Structural Adjustment Credit,30/05/2002,15/12/2007,World Bank,DAC,Bosnia and Herzegovina,BIH,151,"Government and civil society, general",Completion,2002,2007,54099612.04,63815238.41
P111556,1,AFCC2/RI-East Africa Public Health Laboratory Networking Project,25/05/2010,30/03/2020,World Bank,DAC,Guatemala,GTM,120|220,Communications|Health,Implementation,2010,2020,65017077.4,10818875.98
P056333,0,PUB.SCT.MDRN/IDA REF,15/12/1997,,World Bank,DAC,Honduras,HND,151|230|210|220,"Transport and storage|Government and civil society, general|Energy generation and supply|Communications",Completion,1997,1997,19037211.53,
P039892,1,Transport Rehabilitation Project,18/01/1996,30/06/1999,World Bank,DAC,Georgia,GEO,151|210,"Government and civil society, general|Transport and storage",Completion,1996,1999,16371806.56,15292203.43
P008793,1,Reform of Higher Education & Research Project,19/09/1996,30/09/2002,World Bank,DAC,Romania,ROU,114|112,Post-secondary education|Basic education,Completion,1996,2002,68215860.69,68188822.81
P110075,1,Increased Access to Modern Energy,23/06/2009,30/06/2016,World Bank,DAC,Benin,BEN,230,Energy generation and supply,Implementation,2009,2016,72447531.17,1024126.425
P040125,1,Social Development and Compensation Fund (02),16/07/1996,30/06/2000,World Bank,DAC,Peru,PER,151|160|230|140|210,"Water supply and sanitation|Other social infrastructure and services|Government and civil society, general|Transport and storage|Energy generation and supply",Completion,1996,2000,204647582.1,169719865.7
P118077,1,Sao Paulo State Feeder Roads Additional Financing,03/08/2010,,World Bank,DAC,Brazil,BRA,210,Transport and storage,Completion,2010,2010,333746160.1,
P098217,1,Education System Realignment & Strengthening Program (APL #2),15/11/2006,31/08/2011,World Bank,DAC,Georgia,GEO,151|114|113|112,"Post-secondary education|Basic education|Government and civil society, general|Secondary education",Completion,2006,2011,16471549.27,17391404.68
P090867,1,Local Government Management and Services Delivery Project,18/12/2007,31/12/2012,World Bank,DAC,Uganda,UGA,151|160,"Other social infrastructure and services|Government and civil society, general",Completion,2007,2012,58692711.83,42152491.44
P083711,1,Chad: Institutional Reform Support Credit,30/11/2004,31/12/2005,World Bank,DAC,Chad,TCD,322|151|311|321,"Industry|Agriculture|Government and civil society, general|Mineral resources and mining",Completion,2004,2005,29280880.89,31081443.07
P094704,1,Ethiopia - Financial Sector Capacity Building Project,22/06/2006,30/09/2011,World Bank,DAC,Ethiopia,ETH,240,Banking and financial services,Completion,2006,2011,16471549.27,10006793.57
P040721,1,Agriculture Support Services Project (ASSP),07/05/1998,30/06/2008,World Bank,DAC,Kyrgyz Republic,KGZ,151|311|321,"Industry|Agriculture|Government and civil society, general",Completion,1998,2008,19858562.23,17751426.73
P094152,1,PE Irrigation Sub-Sector Supplemental Project,14/06/2005,,World Bank,DAC,Peru,PER,151|311,"Agriculture|Government and civil society, general",Completion,2005,2005,11630593.44,
P150402,1,Kazakhstan: Fostering Productive Innovation Project,22/12/2014,31/12/2020,World Bank,DAC,Kazakhstan,KAZ,151,"Government and civil society, general",Implementation,2014,2020,88000000,
P099287,1,Fifth Poverty Reduction Support Credit,24/05/2007,30/06/2008,World Bank,DAC,Ghana,GHA,151|111|230|240|120,"Education, level unspecified|Banking and financial services|Health|Government and civil society, general|Energy generation and supply",Completion,2007,2008,117385423.7,117469412.9
P078971,1,Health Sector Reform 2 Project (APL #2),16/12/2004,31/12/2013,World Bank,DAC,Romania,ROU,120|151,"Health|Government and civil society, general",Completion,2004,2013,93698818.85,81374925.55
P100792,1,ROAD INFRASTRUCTURE AND SAFETY PROJECT,13/12/2007,30/06/2012,World Bank,DAC,Bosnia and Herzegovina,BIH,151|210,"Government and civil society, general|Transport and storage",Completion,2007,2012,26678505.38,26130663.38
P104990,1,Fourth Poverty Reduction Strategy Grant,28/02/2008,31/12/2008,World Bank,DAC,Rwanda,RWA,151|120|311|111|140,"Water supply and sanitation|Education, level unspecified|Agriculture|Government and civil society, general|Health",Completion,2008,2008,73079006.35,75632299.14
P122065,1,West Africa Agricultural Productivity Program APL (WAAPP-1C),24/03/2011,30/06/2016,World Bank,DAC,Guatemala,GTM,311|321,Industry|Agriculture,Implementation,2011,2016,83800000,3370792.24
P083401,1,Health Sector Reform Project,14/12/2004,15/09/2008,World Bank,DAC,Malawi,MWI,120|151,"Health|Government and civil society, general",Completion,2004,2008,17568528.53,18474569.87
P105881,1,Sustainable Management of Fish Resources,16/12/2008,30/06/2012,World Bank,DAC,Senegal,SEN,311|310,"Agriculture, forestry, fishing|Agriculture",Completion,2008,2012,3653950.318,2398980.285
P063383,1,OSE Modernization and Systems Rehabilitation,06/06/2000,31/03/2007,World Bank,DAC,Uruguay,URY,140,Water supply and sanitation,Completion,2000,2007,34497314.02,34497314.02
P121800,1,MEDEC Low-Carbon DPL Loan,23/11/2010,23/06/2012,World Bank,DAC,Mexico,MEX,312|230|210|430,Forestry|Other|Transport and storage|Energy generation and supply,Completion,2010,2012,409548351.2,409550911.6
P064836,1,Urban Water Supply Project,17/11/2005,30/06/2018,World Bank,DAC,Tunisia,TUN,151|140,"Water supply and sanitation|Government and civil society, general",Implementation,2005,2018,43110279.6,35092712.78
P063683,1,Regional Trade Facilitation Project I,03/04/2001,30/06/2011,World Bank,DAC,Guatemala,GTM,240,Banking and financial services,Completion,2001,2011,6247222.173,12472827.78
P074316,1,FINANCIAL SECTOR TECHNICAL ASSISTANCE PROJECT,19/02/2004,31/12/2010,World Bank,DAC,Niger,NGA,160|240|220,Other social infrastructure and services|Banking and financial services|Communications,Completion,2004,2010,17334281.49,14078647.47
P123447,1,Rural Roads Infrastructure Improvement Project,13/12/2011,30/11/2017,World Bank,DAC,Nicaragua,NIC,210,Transport and storage,Implementation,2011,2017,35000000,
P102549,1,India: Technical Engineering Educational Quality Improvement II,18/03/2010,31/10/2016,World Bank,DAC,India,IND,114|111,"Post-secondary education|Education, level unspecified",Implementation,2010,2016,306395275.2,13408983.02
P146515,1,Kariba Dam Rehabilitation Project,09/12/2014,28/02/2025,World Bank,DAC,Guatemala,GTM,410|140,Water supply and sanitation|General environmental protection,Implementation,2014,2025,75000000,
P093622,1,Agricultural Services & Producer Organizations Project 2,05/06/2006,30/06/2011,World Bank,DAC,Senegal,SEN,151|311|321,"Industry|Agriculture|Government and civil society, general",Completion,2006,2011,21962065.69,22724885.21
P070653,1,UY Integrated Natural Resources and Biodiversity Management Project,09/06/2005,31/08/2012,World Bank,DAC,Uruguay,URY,151|312|311,"Forestry|Agriculture|Government and civil society, general",Completion,2005,2012,34007583.17,32177810.53
P092724,1,DRC - Agriculture Rehabilitation and Recovery Support,30/03/2010,15/12/2015,World Bank,DAC,"Congo, Democratic Republic of",COD,311|310|210,"Agriculture, forestry, fishing|Agriculture|Transport and storage",Implementation,2010,2015,122558110.1,19438295.79
P050486,0,Coal Sector Adjustment Loan (02),18/12/1997,31/12/2001,World Bank,DAC,Russian Federation,RUS,322|160|151|230,"Other social infrastructure and services|Government and civil society, general|Mineral resources and mining|Energy generation and supply",Completion,1997,2001,1072518959,1072518959
P110618,1,TG-Economic Recovery and Governance Grant,29/05/2008,30/06/2009,World Bank,DAC,Togo,TGO,151|321|230|240,"Banking and financial services|Industry|Energy generation and supply|Government and civil society, general",Completion,2008,2009,182697515.9,171602841.5
P001090,1,HIGHER EDUCATION MANAGEMENT,28/11/1995,31/12/2001,World Bank,DAC,Guinea,GIN,151|114,"Post-secondary education|Government and civil society, general",Completion,1995,2001,9175976.077,8336973.93
P055853,1,Nicaragua - Telecommunication Reform,18/11/1999,30/06/2006,World Bank,DAC,Nicaragua,NIC,151|220,"Communications|Government and civil society, general",Completion,1999,2006,20754792.54,21565605.29
P038570,1,TZ-River Basin Management & Small Holder Irrigation Improvements,11/07/1996,30/06/2004,World Bank,DAC,Tanzania,TZA,151|311,"Agriculture|Government and civil society, general",Completion,1996,2004,35881542.72,34935585.81
P097961,1,LAO PDR - Financial Management Capacity Building Project - Additional Financing,26/06/2007,,World Bank,DAC,Lao People's Democratic Republic,LAO,151,"Government and civil society, general",Completion,2007,2007,3201420.645,
P122990,1,CG Rep: Transparency & Governance Repeat Project,28/02/2012,30/06/2015,World Bank,DAC,"Congo, Republic of",COG,151,"Government and civil society, general",Completion,2012,2015,4909218.583,
P004613,1,Water Resources Development Project,26/11/1996,30/06/2005,World Bank,DAC,Philippines,PHL,151|311,"Agriculture|Government and civil society, general",Completion,1996,2005,79130398.4,53064912.96
P048521,1,Amman Water & Sanitation Management Project,16/03/1999,31/12/2006,World Bank,DAC,Jordan,JOR,151|140,"Water supply and sanitation|Government and civil society, general",Completion,1999,2006,71793307.54,70801976.15
P128013,1,MH: First ICT Sector Development Operation,19/03/2013,31/12/2013,World Bank,DAC,Marshall Islands,MHL,220,Communications,Completion,2013,2013,3098741.523,
P102573,1,Afghanistan Skills Development Project,31/01/2008,30/06/2014,World Bank,DAC,Afghanistan,AFG,151|113,"Government and civil society, general|Secondary education",Completion,2008,2014,20879716.1,13686120.92
P078673,1,Poverty Reduction Support Credit (PRSC),18/11/2004,31/12/2005,World Bank,DAC,Armenia,ARM,120|151|310|111|240,"Education, level unspecified|Banking and financial services|Health|Government and civil society, general|Agriculture, forestry, fishing",Completion,2004,2005,23424704.71,24806194.24
