transaction_id,project_id,transaction_isodate,transaction_year,transaction_value_code,transaction_currency,transaction_value
6ifyzmwQRZLLq7yzaezQAm,P124054,03/06/2011,2011,C,USD,30000000
c4hWpUspGgxnzybgTu2yr8,P035626,08/03/1998,1998,C,USD,6628358.554
ZGGsbuwLnujmifv2xkjiQB,P102288,10/06/2006,2006,C,USD,131772394.2
5s4GgG98CYgXbrC8xA3eCd,P065954,26/04/2003,2003,C,USD,75769052.27
jEXCNtas2fCZK5pdwT2zUC,P118375,04/11/2010,2010,C,USD,153197637.6
5YkRx9EYAnEWq2QpP8AA96,P040560,24/06/1998,1998,C,USD,397701513.3
KV724uZGb8qNFqiK2JAHFi,P102915,30/11/2007,2007,C,USD,458870292.5
2zSzazfk4qmAjqKBC7ApBD,P057294,18/02/1999,1999,C,USD,97899964.82
bfiKxt6Ex8aSsWXWkfGCHb,P115347,26/12/2010,2010,C,USD,224689868.5
47vb26LRHgQdAgXwRS4fX5,P071001,25/10/2002,2002,C,USD,54099612.04
YvZ2q2G8Xa7Z82A3VuQSfa,P111556,06/03/2010,2010,C,USD,65017077.4
B3fCnxTSvxMa3zXQsCuh8k,P056333,20/10/1997,1997,C,USD,19037211.53
dUXmaYnbNmxLS8ZjY9EVh7,P039892,14/05/1996,1996,C,USD,16371806.56
FAZtuYExRuL9ZBm2TxDvoT,P008793,25/01/1996,1996,C,USD,68215860.69
fYHmP9eSAvCrFDC5Ey9cWi,P110075,06/05/2009,2009,C,USD,72447531.17
4Uvx94sYbT6nj7irvxpjhL,P040125,15/06/1996,1996,C,USD,204647582.1
V8dN64pvx32XiCfywnr8Va,P118077,01/02/2010,2010,C,USD,333746160.1
mZJQqXAq3rKJeNWWwjYxFa,P098217,10/07/2006,2006,C,USD,16471549.27
xtTEq69vy5mcDeyYXfHA6F,P090867,22/08/2007,2007,C,USD,58692711.83
5ZcFUoz7vuia8JCeVX2xtS,P083711,10/05/2004,2004,C,USD,29280880.89
Vidru2i2fafzM2XdMnzhuE,P094704,29/06/2006,2006,C,USD,16471549.27
FH86zU8oHwenYNbaVGNVaj,P040721,07/09/1998,1998,C,USD,19858562.23
dtz5kNmwaAMBYAwhbzzev7,P094152,12/08/2005,2005,C,USD,11630593.44
QbV8WjBP7hM5zokxCQUMi4,P150402,19/08/2014,2014,C,USD,88000000
57eGEuPJKi8JkVTAksYd3R,P099287,17/06/2007,2007,C,USD,117385423.7
Y2Y8jrDGNrmd5HZTxXd4LF,P078971,10/12/2004,2004,C,USD,93698818.85
wrAYpxfLaRVbjBAvQfFJcK,P100792,01/12/2007,2007,C,USD,26678505.38
YYYwndEvj8zY89r3CJ75cm,P104990,14/02/2008,2008,C,USD,73079006.35
kxrvLk3JVutwn25j3bFEhQ,P122065,01/10/2011,2011,C,USD,83800000
8VGzzPCdaXMRLxwzA9RoeQ,P083401,15/06/2004,2004,C,USD,17568528.53
Y8bvijUW45J4BWBa2FweFY,P105881,15/04/2008,2008,C,USD,3653950.318
3jvbr6abz7wuPq8QpcEa7Y,P063383,05/12/2000,2000,C,USD,34497314.02
5HdCxpqzt9FBzuFYjYuQLo,P121800,13/04/2010,2010,C,USD,409548351.2
xyb4vdmcx2Mnhz2eQWaMcT,P064836,13/07/2005,2005,C,USD,43110279.6
QULGpro7MBsDe2AdE9rGPd,P063683,29/03/2001,2001,C,USD,6247222.173
MJg9Snh32ZYdP4FY3v9uEd,P074316,05/02/2004,2004,C,USD,17334281.49
wBq5uehAwKwnPKkgcH6JZC,P123447,20/10/2011,2011,C,USD,35000000
h5sEYxyvrKBjnM6W4ZpkRi,P102549,06/08/2010,2010,C,USD,306395275.2
NszTaKFftkNZmCUhXqRPSC,P146515,01/07/2014,2014,C,USD,75000000
sAjAYrTztJ4JS8chznCDhT,P093622,17/07/2006,2006,C,USD,21962065.69
fxZN8m6UsAavYZLMa28vHU,P070653,19/11/2005,2005,C,USD,34007583.17
tsj4Gtb5c5ugSLgJPWMs8B,P092724,15/08/2010,2010,C,USD,122558110.1
oPdgqoGYzmevYhXNvmvtq3,P050486,11/06/1997,1997,C,USD,1072518959
r9mtVwzmvNY7pCnS2qsBYP,P110618,01/12/2008,2008,C,USD,182697515.9
qtEGphepqTJSVWGmzQZtbY,P001090,24/02/1995,1995,C,USD,9175976.077
kXQvjQ7EFbLZPUsc7ctrvN,P055853,31/12/1999,1999,C,USD,20754792.54
Tk6WKL8NWxagJDifgkXyUj,P038570,27/09/1996,1996,C,USD,35881542.72
76UHinAQETJbZPXcUjZhpc,P097961,17/09/2007,2007,C,USD,3201420.645
F8Ezrp9Tf2aqdwoeQCjmZd,P122990,26/10/2012,2012,C,USD,4909218.583
nxMNPySxSArG4TS4Y3CQfj,P004613,27/02/1996,1996,C,USD,79130398.4
5fhxZoHmBC24aQEQdBUpJN,P048521,24/04/1999,1999,C,USD,71793307.54
FPBLPssijrwEcKoHaNh3Ro,P128013,28/01/2013,2013,C,USD,3098741.523
Lmijet9Xzn6icTHjrvrWnL,P102573,28/11/2008,2008,C,USD,20879716.1
3N3NLLUYBtgkPxJpfsscri,P078673,24/04/2004,2004,C,USD,23424704.71
C57aPQsSfNVN7ECnAVfzKP,P066396,03/07/2002,2002,C,USD,276645743.4
4DbrL9p3UUC3cqxesMYtWg,P037095,13/10/1998,1998,C,USD,21608448.89
7YJyoBrj6BoRogK5CGoKdm,P124615,13/06/2014,2014,C,USD,50000000
Sf9cBEPCTWJjNDvVxNQqWJ,P075060,06/11/2006,2006,C,USD,395317182.5
XGDyBURPWDVLPQYGKJvqgc,P003978,14/02/1995,1995,C,USD,65344072.06
Aocgg4sctSytmYoUuJnzMj,P101981,27/09/2007,2007,C,USD,16007103.23
6BgfA4wmhZD5Ji7nDm6qg8,P146630,22/01/2014,2014,C,USD,203500000
6Le52BLyrkYERkmRias5QM,P085593,24/12/2005,2005,C,USD,204045499
DhsschUramRdt59zHx7L44,P082239,02/07/2005,2005,C,USD,90686888.45
32sWi3zWJ8fw8iytasth57,P146413,21/01/2014,2014,C,USD,35000000
sJWa8syDtQmzSb9LnuJY9X,P004001,04/08/1995,1995,C,USD,451847306.8
